title,category,price_gbp,rating,in_stock,product_url,budget_quality,value_score
It's Only the Himalayas,Travel,45.17,2,TRUE,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,FALSE,0.044277175116227585
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,TRUE,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,FALSE,0.08092251669026906
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,TRUE,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,FALSE,0.061387354205033766
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,TRUE,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,FALSE,0.05414185165132648
Under the Tuscan Sun,Travel,37.33,3,TRUE,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,FALSE,0.08036431824270024
A Summer In Europe,Travel,44.339999999999996,2,TRUE,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,FALSE,0.045105999097880024
The Great Railway Bazaar,Travel,30.54,1,TRUE,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,FALSE,0.03274394237066143
A Year in Provence (Provence #1),Travel,56.879999999999995,4,TRUE,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,FALSE,0.07032348804500704
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,TRUE,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,FALSE,0.043084877208099955
Neither Here nor There: Travels in Europe,Travel,38.949999999999996,3,TRUE,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,FALSE,0.07702182284980745
"1,000 Places to See Before You Die",Travel,26.08,5,TRUE,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,FALSE,0.19171779141104295
Sharp Objects,Mystery,47.82,4,TRUE,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,FALSE,0.0836470096194061
"In a Dark, Dark Wood",Mystery,19.630000000000003,1,TRUE,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,FALSE,0.05094243504839531
The Past Never Ends,Mystery,56.5,4,TRUE,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,FALSE,0.07079646017699115
A Murder in Time,Mystery,16.64,1,TRUE,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,FALSE,0.06009615384615384
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,TRUE,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,FALSE,0.09070294784580499
The Last Mile (Amos Decker #2),Mystery,54.21,2,TRUE,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,FALSE,0.036893562073418186
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,TRUE,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,FALSE,0.07183908045977011
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,TRUE,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,FALSE,0.09354536950420955
A Time of Torment (Charlie Parker #14),Mystery,48.349999999999994,5,TRUE,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,FALSE,0.1034126163391934
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,TRUE,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,FALSE,0.1195457262402869
Poisonous (Max Revere Novels #3),Mystery,26.8,3,TRUE,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,FALSE,0.11194029850746269
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,TRUE,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,FALSE,0.07358351729212656
Most Wanted,Mystery,35.28,3,TRUE,https://books.toscrape.com/catalogue/most-wanted_623/index.html,FALSE,0.08503401360544217
Hide Away (Eve Duncan #20),Mystery,11.84,1,TRUE,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,FALSE,0.08445945945945946
Boar Island (Anna Pigeon #19),Mystery,59.48,3,TRUE,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,FALSE,0.05043712172158709
