category,books,median_price_gbp,average_rating,budget_quality_books,budget_quality_share
Poetry,19,38.77,3.526315789473684,4,0.21052631578947367
Humor,10,31.29,3.4,2,0.2
Philosophy,11,29.93,2.3636363636363638,2,0.18181818181818182
Science,14,30.025,2.9285714285714284,2,0.14285714285714285
Food and Drink,30,31.83,2.9,4,0.13333333333333333
Young Adult,54,36.61,3.2962962962962963,7,0.12962962962962962
Sequential Art,75,36.52,2.973333333333333,9,0.12
Womens Fiction,17,43.58,3.1176470588235294,2,0.11764705882352941
Romance,35,34.53,2.6285714285714286,3,0.08571428571428572
Business,12,33.629999999999995,2.9166666666666665,1,0.08333333333333333
Fiction,65,39.720000000000006,3.1846153846153844,5,0.07692307692307693
Childrens,29,28.54,2.6206896551724137,2,0.06896551724137931
Default,152,36.025,2.835526315789474,10,0.06578947368421052
Science Fiction,16,35.315,2.25,1,0.0625
Fantasy,48,43.58,3.0833333333333335,3,0.0625
Horror,17,36.97,2.7058823529411766,1,0.058823529411764705
Nonfiction,110,32.15,2.881818181818182,6,0.05454545454545454
Classics,19,35.01,2.473684210526316,1,0.05263157894736842
Historical Fiction,26,31.61,3.230769230769231,1,0.038461538461538464
Mystery,32,25.384999999999998,2.9375,1,0.03125
Add a comment,67,36.17,2.7611940298507465,2,0.029850746268656716
Thriller,11,31.49,2.727272727272727,0,0
Music,13,35.02,3.1538461538461537,0,0
Travel,11,38.949999999999996,2.727272727272727,0,0
History,18,41.29,2.9444444444444446,0,0
