title,category,price_gbp,rating,product_url
An Abundance of Katherines,Young Adult,10,5,https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
Greek Mythic History,Default,10.229999999999999,5,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,11.05,5,https://books.toscrape.com/catalogue/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
Dear Mr. Knightley,Fiction,11.209999999999999,5,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
The Darkest Corners,Young Adult,11.33,5,https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,11.38,5,https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.639999999999999,5,https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
Old School (Diary of a Wimpy Kid #10),Humor,11.83,5,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,12.16,5,https://books.toscrape.com/catalogue/every-heart-a-doorway-every-heart-a-doorway-1_465/index.html
